scenario,los,count
System Fully Coordinated,354,354
System Fully Coordinated,107,107
System Fully Coordinated,61,61
System Fully Coordinated,24,24
System Fully Coordinated,4,4
System Fully Coordinated,8,8
Mission Blvd Zero Offset Northbound,409,409
Mission Blvd Zero Offset Northbound,85,85
Mission Blvd Zero Offset Northbound,35,35
Mission Blvd Zero Offset Northbound,21,21
Mission Blvd Zero Offset Northbound,3,3
Mission Blvd Zero Offset Northbound,5,5
Mission Blvd L/V Coordinated Northbound,429,429
Mission Blvd L/V Coordinated Northbound,77,77
Mission Blvd L/V Coordinated Northbound,37,37
Mission Blvd L/V Coordinated Northbound,8,8
Mission Blvd L/V Coordinated Northbound,5,5
Mission Blvd L/V Coordinated Northbound,2,2
